Data source,Cell context,Description,Full description,Context name,Strain,Fraction,M. musculus,H. sapiens
sORFs.org,deklerck_2015 ,Mouse myoblasts,Mouse C2C12 myoblasts ,C2C12,,,x,
sORFs.org,fields_2015 ,Mouse dendritic cells,"Bone marrow-derived dendritic cells, strain C57BL/6J, age 6-8 weeks ",BMDC,C57BL/6,,x,
sORFs.org,gao_mef_2014 ,Mouse MEF cells,Mouse embryonic fibroblasts ,MEF,,,x,
sORFs.org,gao_liver_2014,Mouse liver cells ,Mouse liver cells ,Liver,,,x,
sORFs.org,gerashchenko_2016 ,liver,"Mouse liver, strain C57BL6 ",Liver,C57BL/6,,x,
sORFs.org,janich_2015 ,Mouse liver,"Mouse liver cells, age 11-12 weeks , strain: C57BL/6JRj ",Liver,C57BL/6,,x,
sORFs.org,laguesse_2015 ,Mouse brain ,Mouse forebrains from E14.5 mouse embryos ,Brain,E14.5,,x,
sORFs.org,reid_er_2016,Mouse embryonic fibroblasts ,"Mouse embryonic fibroblasts, endoplasmic reticulum fraction ",MEF,,ER,x,
sORFs.org,reid_cytosol_2016,Mouse embryonic fibroblasts ,"Mouse embryonic fibroblasts, cytosol fraction ",MEF,,Cytosol,x,
sORFs.org,you_2015 ,Mouse embryonic fibroblasts ,R1 mESC (mouse Embryonic Stem Cells) ,R1E,,,x,
sORFs.org,reid_2014,Mouse embryonic fibroblasts ,Mouse embryonic fibroblasts ,MEF,,,x,
sORFs.org,jakobsson_2017,HAP1,"HAP1 cells are near-haploid, having a single copy of nearly every chromosome",HAP1,,,,
sORFs.org,mills_2016 ,Blood,Human blood cells ,Blood,,,,
sORFs.org,park_2017,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,
sORFs.org,shi_2017,HeLa,Human immortalized cell line ,HeLa,,,,
sORFs.org,zhang_2017 ,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,
sORFs.org,su_2015 ,monocytes,isolated human monocytes ,Monocyte,,,,
sORFs.org,cenik_2015,LCL ,human lymphoblastoid cells ,LCL,,,,
sORFs.org,Loayza_Puch_2016,MCF7 ,Breast cancer cell line ,MCF7,,,,
sORFs.org,ji_BJ_2015,BJ,human fibroblasts (foreskin) ,BJ,,,,
sORFs.org,ji_breast_2015,Breast,human epihelial breast cells (MCF10A) ,MCF10A,,,,
sORFs.org,malecki_2017 ,Flp-In T-REx-293 ,Flp-In T-REx-293 cells (https://www.thermofisher.com/order/catalog/product/R78007),Flp-In T-REx-293 ,,,,x
,,,,,,,,
sORFs.org,guo_2014 ,UNKNOWN,,,,,,
sORFs.org,guo_2010,UNKNOWN,,,,,,
sORFs.org,liu_2013 ,UNKNOWN,,,,,,
,,,,,,,,
Johnstone2016,HeLa,,,HeLa,,,,
Johnstone2016,HEK293,,,HEK293,,,x,
Johnstone2016,Primary human foreskin fibroblasts (HFFs),,,HFF,,,x,
Johnstone2016,Human brain tumour,,,Brain_tumor,,,x,
Johnstone2016,Mouse Embryonic Stem Cells,,,MESC,,,,
Johnstone2016,Mouse Embryonic Fibroblast (MEFs),,,MEF,,,,
Johnstone2016,Mouse liver cell,,,Liver,,,,
Johnstone2016,Mouse gliomal cells,,,Glioma,,,,
,,,,,,,,
Erhard2018,Primary human fibroblast (HFF),,,HFF,,,,
,,,,,,,,
Laumont2016,B cells,,,B_cell,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Non included sORFs datasets,,,,,,,,
sORFs.org,dunn_2014 ,S2,Drosophila melanogaster cell line S2 (Schneider 2) cells were derived from a primary culture of late stage (20–24 hours old) Drosophila melanogaster embryos,,,,,
sORFs.org,kronja_2014,Oocytes,Drosophila melanogaster oocytes ,,,,,
sORFs.org,aspden_2014 ,S2,Drosophila melanogaster cell line S2 (Schneider 2) cells were derived from a primary culture of late stage (20–24 hours old) Drosophila melanogaster embryos ,,,,,
sORFs.org,chew_2013,zebrafish embryos ,"Ribosome profiling over 8 stages in early zebrafish development: 2-4 cell, 256 cell, 1K cell, Dome, Shield, Bud, 28hpf and 5dpf ",,,,,
sORFs.org,lee_2013 ,zebrafish embryos ,zebrafish embryos at different stages ,,,,,
sORFs.org,bazinni_2014 ,Whole embryos,Zebrafish embryos at stage 5h-48h ,,,,,
sORFs.org,arnold_n2_2014,N2,young adults,,,,,
sORFs.org,arnold_c14_2014,C14,"whole young adults worms, cey-1 (rrr12), cey-4 (ok858) mutant",,,,,
sORFs.org,hendriks_2014 ,N2,young adults,,,,,
sORFs.org,nedialkova_2015 ,N2,young adults,,,,,
sORFs.org,stadler_2012 ,L1,Larval stage 1 ,,,,,
sORFs.org,stadler_fire_2011 ,L1-L4,Larval stage 1-4 ,,,,,
sORFs.org,andreev_2015_rat,PC12,"PC12 is a cell line derived from a pheochromocytoma of the rat adrenal medulla, that have an embryonic origin from the neural crest that has a mixture of neuroblastic cells and eosinophilic cells. ",,,,,
sORFs.org,ori_brain_2015,Brain,rat brain from 6 and 24 month old rats ,,,,,
sORFs.org,ori_liver_2015,liver,rat liver from 6 and 24 month old rats ,,,,,
sORFs.org,schafer_heart_2015,Heart,Rat heart tissue from 6-week-old unfasted BN-Lx and SHR/Ola male rats ,,,,,
sORFs.org,schafer_liver_2015,?,?,,,,,
